Oranges,450,10
Bananas,300,85
Bananas,85,85
Oranges,450,85
Milk,100,26
Potatoes,210,10
Rice,210,125
Bread,210,40
Pasta,300,15
Pasta,450,15
Bread,30,26
Pasta,10,26
Rice,450,30
Pasta,120,40
Pasta,600,25
Pasta,180,40
Chicken,210,35
Bread,450,10
Chicken,300,10
Rice,100,26
Rice,450,125
Chicken,30,35
Bread,120,26
Chicken,85,85
Bananas,210,40
Oranges,10,25
Eggs,600,10
Chicken,10,35
Eggs,180,125
Rice,30,26
Apple,180,85
Oranges,450,125
Apple,30,40
Eggs,210,125
Rice,10,85
Apple,300,10
Rice,600,100
Milk,450,30
Milk,180,85
Bread,85,10
Apple,600,15
Rice,300,35
Pasta,450,30
Bread,210,125
Milk,85,85
Chicken,300,100
Eggs,300,30
Oranges,210,26
Potatoes,600,10
Rice,210,10
Milk,450,10
Apple,100,26
Bread,10,125
Pasta,450,26
Chicken,100,10
Potatoes,450,30
Apple,100,125
Pasta,180,40
Potatoes,85,10
Bananas,300,35
Bread,30,25
Rice,10,30
Eggs,85,85
Chicken,10,15
Pasta,10,85
Apple,85,35
Bread,210,15
Rice,85,85
Bananas,600,85
Bread,300,25
Bananas,450,125
Eggs,120,26
Bananas,600,35
Oranges,100,15
Milk,120,10
Bananas,30,15
Bananas,10,125
Potatoes,85,30
Milk,300,26
Apple,600,40
Oranges,300,15
Apple,210,26
Eggs,100,40
Milk,120,100
Bananas,300,85
Oranges,10,26
Oranges,30,35
Eggs,450,85
Eggs,85,100
Chicken,85,10
Chicken,600,15
Rice,210,25
Pasta,600,30
Potatoes,100,25
Eggs,450,15
Potatoes,10,10
Potatoes,450,25
Apple,210,25
Pasta,85,26
Apple,300,25
