Item,Quantity,Price
Rice,1,5.07
Bread,3,2.61
Pasta,1,4.92
Apple,9,1.32
Eggs,9,2.94
Banana,4,2.46
Rice,1,5.07
Chicken,9,2.46
Eggs,9,2.94
Orange,2,6.19
Pasta,1,4.92
Milk,2,2.05
Rice,1,5.07
Chicken,9,2.46
Banana,4,2.46
Milk,2,2.05
Apple,9,1.32
Orange,2,6.19
Chicken,9,2.46
Milk,2,2.05
Bread,3,2.61
Cereal,5,4.07
Eggs,9,2.94
Pasta,1,4.92
Chicken,9,2.46
Bread,3,2.61
Orange,2,6.19
Chicken,9,2.46
Rice,1,5.07
Chicken,9,2.46
Rice,1,5.07
Banana,4,2.46
Chicken,9,2.46
Milk,2,2.05
Eggs,9,2.94
Bread,3,2.61
Pasta,1,4.92
Rice,1,5.07
Chicken,9,2.46
Milk,2,2.05
Milk,2,2.05
Bread,3,2.61
Pasta,1,4.92
Banana,4,2.46
Apple,9,1.32
Eggs,9,2.94
Eggs,9,2.94
Banana,4,2.46
Rice,1,5.07
Cereal,5,4.07
Banana,4,2.46
Cereal,5,4.07
Pasta,1,4.92
Bread,3,2.61
Orange,2,6.19
Chicken,9,2.46
Banana,4,2.46
Milk,2,2.05
Eggs,9,2.94
Chicken,9,2.46
Orange,2,6.19
Eggs,9,2.94
Chicken,9,2.46
Rice,1,5.07
Cereal,5,4.07
Rice,1,5.07
Cereal,5,4.07
Cereal,5,4.07
Orange,2,6.19
Orange,2,6.19
Apple,9,1.32
Milk,2,2.05
Bread,3,2.61
Apple,9,1.32
Orange,2,6.19
Pasta,1,4.92
Eggs,9,2.94
Cereal,5,4.07
Milk,2,2.05
Rice,1,5.07
Pasta,1,4.92
Rice,1,5.07
Cereal,5,4.07
Pasta,1,4.92
Bread,3,2.61
Orange,2,6.19
Pasta,1,4.92
Cereal,5,4.07
Bread,3,2.61
Cereal,5,4.07
Orange,2,6.19
Pasta,1,4.92
Eggs,9,2.94
Bread,3,2.61
Chicken,9,2.46
Rice,1,5.07
Milk,2,2.05
Eggs,9,2.94
Eggs,9,2.94
Chicken,9,2.46
